"Distance[m]" "Pseudodepth[m]" "Apparent resistivity[ohmm]"
300 200 340.1
270 180 353
290 180 330.3
310 180 314.3
330 180 307.5
240 160 387.7
260 160 348.4
280 160 316.5
300 160 304.6
320 160 291
340 160 276
360 160 272.4
210 140 435.1
230 140 381.8
250 140 335.2
270 140 300.8
290 140 291.8
310 140 280.4
330 140 269.2
350 140 258.9
370 140 231.4
390 140 213.8
340 120 248.2
360 120 225.2
380 120 197.9
400 120 164.6
420 120 156.2
180 120 502.3
200 120 440.7
220 120 367
240 120 318
260 120 287.5
280 120 278.2
300 120 265.3
320 120 258.5
250 100 271.5
270 100 262.4
290 100 249.9
310 100 242.4
330 100 233.7
350 100 212.4
370 100 187.4
390 100 165.6
410 100 142.4
430 100 114.1
150 100 558.8
450 100 125.6
170 100 509.3
190 100 438.6
210 100 358.6
230 100 301.6
160 80 486.6
400 80 139.6
180 80 417.6
420 80 124.6
200 80 355.4
440 80 115.6
220 80 294.6
460 80 99.46
240 80 247.9
480 80 101.2
260 80 239.7
280 80 233.4
300 80 223.4
320 80 214.5
340 80 198.4
120 80 551.1
360 80 180.5
140 80 527.5
380 80 160.4
250 60 207.6
430 60 111.8
90 60 505.3
270 60 202.4
450 60 97.18
110 60 478.8
290 60 200.6
470 60 85.05
130 60 450.7
310 60 196.7
490 60 65.43
150 60 419.1
330 60 186.3
510 60 90
170 60 382.6
350 60 168.9
190 60 321.3
370 60 150.8
210 60 271.2
390 60 142.1
230 60 226.2
410 60 127.8
100 40 391.6
220 40 177.9
340 40 149
460 40 78.64
120 40 352.8
240 40 164.7
360 40 142.7
480 40 72.13
140 40 338.3
260 40 150.9
380 40 132.3
500 40 66.4
160 40 309.1
280 40 159.5
400 40 113.1
520 40 45.04
60 40 458.3
180 40 255.6
300 40 174.1
420 40 101.6
540 40 112.4
80 40 441.5
200 40 206.5
320 40 160.8
440 40 88.08
70 20 250.9
130 20 210.3
190 20 128.9
250 20 90.83
310 20 110
370 20 93.61
430 20 74.83
490 20 67.09
550 20 39.9
30 20 278.6
90 20 237.2
150 20 190.6
210 20 97.88
270 20 92.37
330 20 107.1
390 20 82.91
450 20 69.05
510 20 64.63
570 20 45.27
50 20 261.2
110 20 221.2
170 20 154
230 20 96.88
290 20 109.6
350 20 99.8
410 20 78.24
470 20 69.2
530 20 66.04
45 30 374.4
135 30 286.7
225 30 135.2
315 30 143.2
55 30 371.4
145 30 275.5
235 30 133.3
325 30 137.5
65 30 368
155 30 251.8
245 30 127.2
335 30 131.2
75 30 362.7
165 30 232.4
255 30 121
345 30 128.4
85 30 347.9
175 30 211.6
265 30 121.6
355 30 126.8
95 30 328.4
185 30 194.1
275 30 130.7
105 30 306.2
195 30 168.5
285 30 137.7
115 30 294.1
205 30 146.8
295 30 143.6
125 30 293.7
215 30 135.2
305 30 146.4
40 20 273.9
100 20 226.4
160 20 169.8
220 20 96.18
280 20 102.8
