"Distance[m]" "Pseudodepth[m]" "Apparent resistivity[ohmm]"
180 120 140.618
200 120 141.749
220 120 129.610
150 100 98.520
170 100 98.018
190 100 102.416
210 100 115.296
230 100 117.967
250 100 100.719
120 80 79.319
140 80 72.885
160 80 80.425
180 80 80.927
200 80 75.901
220 80 87.713
240 80 87.261
260 80 118.375
280 80 98.043
90 60 55.323
270 60 109.516
110 60 60.356
290 60 138.733
130 60 57.981
310 60 107.819
150 60 61.186
170 60 69.442
190 60 71.251
210 60 85.388
230 60 73.890
250 60 90.478
60 40 37.837
180 40 77.032
300 40 218.906
80 40 34.067
200 40 90.855
320 40 211.241
100 40 41.670
220 40 111.338
340 40 186.234
120 40 36.355
240 40 129.308
140 40 42.851
260 40 140.995
160 40 54.664
280 40 186.736
30 20 26.955
90 20 33.804
150 20 99.651
210 20 147.341
270 20 336.779
330 20 307.876
50 20 18.868
110 20 50.328
170 20 99.588
230 20 232.352
290 20 285.257
350 20 515.221
70 20 20.873
130 20 57.805
190 20 153.184
250 20 208.225
310 20 414.690
370 20 522.761
145 30 53.250
235 30 163.803
155 30 57.491
245 30 175.772
165 30 65.596
255 30 202.821
175 30 79.262
185 30 99.903
195 30 108.385
205 30 114.605
215 30 129.968
225 30 163.897
140 20 73.639
200 20 162.923
260 20 234.111
160 20 103.170
220 20 158.839
180 20 112.155
240 20 251.327
122.5 15 89.347
167.5 15 158.666
212.5 15 163.897
257.5 15 228.080
127.5 15 99.997
172.5 15 158.383
217.5 15 163.850
262.5 15 290.754
132.5 15 104.662
177.5 15 174.311
222.5 15 183.076
267.5 15 325.626
137.5 15 129.167
182.5 15 162.625
227.5 15 204.518
272.5 15 368.509
142.5 15 133.266
187.5 15 166.112
232.5 15 246.929
277.5 15 385.473
147.5 15 156.074
192.5 15 166.913
237.5 15 251.642
152.5 15 147.592
197.5 15 180.390
242.5 15 262.951
157.5 15 146.508
202.5 15 181.615
247.5 15 234.677
162.5 15 142.880
207.5 15 171.625
252.5 15 236.562
115 10 152.681
145 10 298.451
175 10 280.858
205 10 181.584
235 10 227.451
265 10 305.991
120 10 179.385
150 10 366.938
180 10 233.734
210 10 174.673
240 10 235.619
270 10 362.540
125 10 173.730
155 10 333.009
185 10 206.717
215 10 172.159
245 10 236.248
275 10 346.204
130 10 209.230
160 10 335.522
190 10 191.009
220 10 177.186
250 10 253.841
280 10 365.996
135 10 237.190
165 10 304.734
195 10 206.717
225 10 191.637
255 10 268.920
285 10 409.664
140 10 314.159
170 10 334.265
200 10 198.863
230 10 215.513
260 10 263.894
107.5 5 605.228
122.5 5 518.049
137.5 5 876.504
152.5 5 1595.929
167.5 5 775.973
182.5 5 502.655
197.5 5 318.243
212.5 5 241.903
227.5 5 272.062
242.5 5 273.633
257.5 5 321.228
272.5 5 519.934
287.5 5 487.575
112.5 5 607.270
127.5 5 515.064
142.5 5 1190.664
157.5 5 1234.646
172.5 5 681.726
187.5 5 371.336
202.5 5 276.460
217.5 5 219.283
232.5 5 311.332
247.5 5 302.221
262.5 5 339.920
277.5 5 548.993
292.5 5 394.270
117.5 5 518.206
132.5 5 623.292
147.5 5 1313.186
162.5 5 1168.672
177.5 5 492.602
192.5 5 358.142
207.5 5 247.872
222.5 5 261.223
237.5 5 332.695
252.5 5 258.553
267.5 5 518.991
282.5 5 512.708
280 120 123.653
300 120 136.471
320 120 135.340
270 100 99.620
290 100 104.615
310 100 110.898
330 100 118.815
350 100 110.113
300 80 90.025
320 80 98.621
340 80 109.579
360 80 116.616
380 80 106.814
370 60 199.240
390 60 153.624
410 60 164.745
330 60 110.647
350 60 124.030
400 40 317.050
420 40 236.499
440 40 251.579
360 40 225.315
380 40 383.777
430 20 631.460
390 20 642.770
450 20 612.611
410 20 578.053
470 20 669.788
335 30 317.050
345 30 303.289
265 30 190.381
355 30 337.690
275 30 222.802
285 30 243.631
295 30 291.885
305 30 274.073
315 30 290.660
325 30 261.726
300 20 339.292
360 20 466.212
320 20 338.035
280 20 320.442
340 20 419.717
312.5 15 410.920
357.5 15 538.155
317.5 15 386.416
362.5 15 540.511
322.5 15 380.761
367.5 15 584.336
282.5 15 359.084
327.5 15 387.358
372.5 15 784.613
287.5 15 283.686
332.5 15 344.004
377.5 15 841.633
292.5 15 328.925
337.5 15 44.956
297.5 15 208.288
342.5 15 246.929
302.5 15 77.142
347.5 15 538.155
307.5 15 423.173
352.5 15 552.292
305 10 504.854
335 10 356.257
365 10 667.274
310 10 384.531
340 10 481.606
370 10 747.071
315 10 356.885
345 10 493.858
375 10 985.832
290 10 362.540
320 10 436.681
350 10 502.341
380 10 1185.009
295 10 331.124
325 10 434.796
355 10 559.832
385 10 1256.637
300 10 468.726
330 10 355.628
360 10 654.080
297.5 5 535.013
312.5 5 425.215
327.5 5 370.708
342.5 5 631.460
357.5 5 597.531
372.5 5 948.761
387.5 5 2095.442
302.5 5 505.168
317.5 5 439.823
332.5 5 432.283
347.5 5 479.093
362.5 5 604.757
377.5 5 1687.035
392.5 5 1705.885
307.5 5 553.077
322.5 5 413.434
337.5 5 389.243
352.5 5 640.885
367.5 5 788.540
382.5 5 1426.283
380 120 133.304
400 120 147.027
420 120 163.237
370 100 114.982
390 100 123.465
410 100 134.774
430 100 152.681
450 100 152.367
400 80 129.936
420 80 147.781
440 80 152.807
460 80 160.850
480 80 164.117
470 60 238.824
490 60 315.919
510 60 262.763
430 60 175.678
450 60 209.042
500 40 351.481
520 40 420.345
540 40 541.611
460 40 532.814
480 40 453.897
530 20 869.593
490 20 788.540
550 20 863.310
510 20 596.903
570 20 899.124
435 30 450.504
445 30 467.469
365 30 296.409
455 30 508.938
375 30 380.761
385 30 454.274
395 30 525.903
405 30 409.035
415 30 435.425
425 30 331.564
400 20 620.779
460 20 657.221
420 20 519.619
380 20 521.504
440 20 684.867
412.5 15 570.199
457.5 15 856.241
417.5 15 562.659
462.5 15 834.093
422.5 15 551.350
467.5 15 966.040
382.5 15 807.703
427.5 15 635.230
472.5 15 867.080
387.5 15 709.215
432.5 15 609.783
477.5 15 820.898
392.5 15 676.228
437.5 15 767.177
397.5 15 753.040
442.5 15 738.431
402.5 15 852.000
447.5 15 811.002
407.5 15 771.889
452.5 15 775.188
405 10 1111.810
435 10 519.619
465 10 1300.619
410 10 738.903
440 10 785.398
470 10 1128.460
415 10 499.199
445 10 985.203
475 10 1103.327
390 10 1039.867
420 10 516.478
450 10 867.080
480 10 1176.841
